date,close,volume,open,high,low
16:00,187.88,"18,597,540",188.69,189.7799,187.61
29-06-18,185.11,22551660,186.29,187.19,182.91
28-06-18,185.5,17352380,184.1,186.21,183.8
27-06-18,184.16,24987260,185.228,187.28,184.03
26-06-18,184.43,24378480,182.99,186.53,182.54
25-06-18,182.17,31632320,183.4,184.92,180.73
22-06-18,184.92,27185130,186.12,186.15,184.7
21-06-18,185.46,25649240,187.25,188.35,184.94
20-06-18,186.5,20490090,186.35,187.2,185.73
19-06-18,185.69,33538550,185.14,186.33,183.45
18-06-18,188.74,18458410,187.88,189.22,187.2
15-06-18,188.84,61438290,190.03,190.16,188.26
14-06-18,190.8,21584720,191.55,191.57,190.22
13-06-18,190.7,21480120,192.42,192.88,190.44
12-06-18,192.28,16859020,191.385,192.611,191.15
11-06-18,191.23,18069930,191.35,191.97,190.21
08-06-18,191.7,26580710,191.17,192,189.77
07-06-18,193.46,21329170,194.14,194.2,192.335
06-06-18,193.98,20912820,193.63,194.08,191.92
05-06-18,193.31,21535570,193.065,193.94,192.36
04-06-18,191.83,26190620,191.635,193.42,191.35
01-06-18,190.24,23377690,187.991,190.26,187.75
